iter	RMSE
0	0.3184398288
1	0.3178231244
2	0.3175022123
3	0.3170421757
4	0.3166091443
5	0.3161539349
6	0.3157967659
7	0.3154914268
8	0.3151881175
9	0.3147641931
10	0.3143227821
11	0.3139501816
12	0.3135668835
13	0.313241127
14	0.3129800328
15	0.3126560943
16	0.3124125722
17	0.3121249965
18	0.311860857
19	0.3116189274
20	0.3113295097
21	0.3111469882
22	0.3109316677
23	0.310684346
24	0.3104044518
25	0.3101319762
26	0.3099298076
27	0.3097393911
28	0.3094147702
29	0.3091640606
30	0.308994068
31	0.308767575
32	0.3085517103
33	0.3083163334
34	0.3080096734
35	0.3078264183
36	0.3077003142
37	0.3074374965
38	0.3072373802
39	0.3070239644
40	0.3068739577
41	0.3067028669
42	0.3064580102
43	0.3062970188
44	0.306071281
45	0.3059652963
46	0.3056799828
47	0.305387235
48	0.3050847631
49	0.3049008597
50	0.304735146
51	0.3045520906
52	0.3042973402
53	0.304090722
54	0.303961201
55	0.3038154389
56	0.3036422119
57	0.303446632
58	0.3032846961
59	0.3031345076
60	0.3029250529
61	0.3027634361
62	0.3025976307
63	0.3023788855
64	0.3022310082
65	0.3020927037
66	0.3019610759
67	0.3018114155
68	0.3017150763
69	0.3014807173
70	0.3013718087
71	0.3011831709
72	0.3009934677
73	0.3008514641
74	0.300693271
75	0.3005888244
76	0.3004797879
77	0.300310356
78	0.300186735
79	0.300001676
80	0.2999197667
81	0.2997885922
82	0.2996504565
83	0.2995076342
84	0.299387981
85	0.2992165916
86	0.2990244865
87	0.2989146945
88	0.2987348308
89	0.2986223426
90	0.2984875265
91	0.2983652971
92	0.2982288653
93	0.2980754805
94	0.2979622501
95	0.2978489699
96	0.2977242315
97	0.2975625452
98	0.2974784516
99	0.2973939869
100	0.2972700008
101	0.2971079227
102	0.2969316538
103	0.2968292281
104	0.2966283809
105	0.2964898154
106	0.2963204924
107	0.296122302
108	0.2959859451
109	0.2958875304
110	0.2957680328
111	0.2955982195
112	0.2954915829
113	0.2953670478
114	0.2952873709
115	0.2950606717
116	0.2949258749
117	0.2948611676
118	0.2946589764
119	0.2945708067
120	0.2944657902
121	0.2943572486
122	0.2942408354
123	0.2940941719
124	0.2939837998
125	0.293883505
126	0.2937514224
127	0.2936139827
128	0.2934558525
129	0.2933194605
130	0.2932152274
131	0.293082529
132	0.2929768944
133	0.292813116
134	0.2926618884
135	0.2924681692
136	0.2923792322
137	0.2922485932
138	0.2921579541
139	0.2920126571
140	0.2919113205
141	0.2917991467
142	0.2916682672
143	0.2915011437
144	0.29138327
145	0.2912654741
146	0.2910929876
147	0.2909638328
148	0.2908224351
149	0.2906340416
150	0.2905396062
151	0.2903893711
152	0.2902677143
153	0.2901495318
154	0.2900288679
155	0.2897774391
156	0.289620845
157	0.2894560327
158	0.2892853342
159	0.2891123608
160	0.2889931363
161	0.2888802296
162	0.2887524543
163	0.2886308803
164	0.2884667711
165	0.2883467262
166	0.2881943021
167	0.2881047225
168	0.2879606378
169	0.2878429656
170	0.2877149902
171	0.2875431305
172	0.2874107478
173	0.287240887
174	0.2870602582
175	0.2869380231
176	0.2867928803
177	0.2866761579
178	0.2865484244
179	0.2864143843
180	0.2862431836
181	0.2861560465
182	0.2860315763
183	0.2859111229
184	0.285790748
185	0.2856118768
186	0.2855224717
187	0.2854284514
188	0.2852942087
189	0.2851787202
190	0.2850778266
191	0.2848716401
192	0.2847574284
193	0.2846122622
194	0.2844246702
195	0.2843375897
196	0.2841844273
197	0.2838939167
198	0.2837743389
199	0.2836937231
200	0.2835546572
201	0.2834683951
202	0.2832763835
203	0.2831441081
204	0.2830125907
205	0.282923763
206	0.2827951516
207	0.2826571378
208	0.2824973294
209	0.2822678857
210	0.2821036233
211	0.2819162297
212	0.2818393042
213	0.2816892254
214	0.2814528303
215	0.2813568517
216	0.2812188486
217	0.2810500669
218	0.2809334257
219	0.2807174168
220	0.2805562884
221	0.2803613934
222	0.2801669746
223	0.2800505977
224	0.2798718445
225	0.2796690476
226	0.279462803
227	0.2793710579
228	0.2792687788
229	0.2790982263
230	0.2789704754
231	0.2788566703
232	0.2786521607
233	0.2784534176
234	0.2782465219
235	0.278041477
236	0.2778858425
237	0.2777600473
238	0.2776114556
239	0.2774927866
240	0.2773395195
241	0.2772965774
242	0.2771032526
243	0.2770047419
244	0.2767944582
245	0.2765703146
246	0.276372625
247	0.276241653
248	0.2761243727
249	0.2760039495
250	0.2758917857
251	0.2757546683
252	0.275618569
253	0.2754732321
254	0.2753351548
255	0.2751727035
256	0.2749938874
257	0.2748137705
258	0.2747211874
259	0.2745171117
260	0.2744021989
261	0.2743330401
262	0.2742186616
263	0.2741335771
264	0.2740499695
265	0.2739181237
266	0.2737948987
267	0.2735826196
268	0.2734733156
269	0.2733500933
270	0.2732558163
271	0.2731154106
272	0.2729283735
273	0.2727390164
274	0.272532312
275	0.272311857
276	0.2721974439
277	0.2720031959
278	0.2718411464
279	0.2717066637
280	0.2715780652
281	0.2715009495
282	0.2713726508
283	0.2713005986
284	0.271213922
285	0.2710647613
286	0.2708964031
287	0.2708532568
288	0.2706989415
289	0.2705739165
290	0.2704951293
291	0.270391723
292	0.2702383673
293	0.2700933671
294	0.2699558257
295	0.2697870959
296	0.2696148512
297	0.2694947266
298	0.2693080802
299	0.2691801952
300	0.269058135
301	0.2689531562
302	0.2687685045
303	0.2686276143
304	0.2684594962
305	0.2683786484
306	0.2682707498
307	0.268121299
308	0.267960355
309	0.267819155
310	0.2677592227
311	0.2676978451
312	0.2675885403
313	0.2674996098
314	0.2674191747
315	0.2672757965
316	0.2671850203
317	0.2670647788
318	0.2670090996
319	0.2668943544
320	0.2667645552
321	0.2666375839
322	0.2665184894
323	0.2663553628
324	0.2662009135
325	0.2660976581
326	0.2659895205
327	0.265885667
328	0.2656792065
329	0.2655515195
330	0.2653812354
331	0.2652174098
332	0.2650649415
333	0.2648785123
334	0.2647936768
335	0.26464911
336	0.2645258075
337	0.2644286219
338	0.2643019757
339	0.2641889944
340	0.2640011852
341	0.2638831259
342	0.2637185434
343	0.2636431845
344	0.2634338385
345	0.2633534301
346	0.2632237745
347	0.2631120234
348	0.2630521975
349	0.2628701685
350	0.2627820139
351	0.2626153162
352	0.2625215912
353	0.2623946103
354	0.262244119
355	0.2621281702
356	0.2620204531
357	0.261910128
358	0.2618343613
359	0.2617021472
360	0.2616028986
361	0.2614410351
362	0.2613270231
363	0.2611918547
364	0.2611132484
365	0.2609514742
366	0.2608122743
367	0.2607104326
368	0.2605604532
369	0.260445405
370	0.2603860588
371	0.2603115088
372	0.2601449596
373	0.2600635415
374	0.2599085587
375	0.2597747313
376	0.2596290276
377	0.2594779413
378	0.2593236061
379	0.259239515
380	0.259078269
381	0.258979434
382	0.2588246544
383	0.2586253575
384	0.2584743512
385	0.2583728798
386	0.2582406021
387	0.2581887267
388	0.2580786089
389	0.2579711106
390	0.2579142636
391	0.2578155183
392	0.2576412251
393	0.2575262002
394	0.2574676684
395	0.2573767745
396	0.2572730952
397	0.2571610695
398	0.2570915902
399	0.2570223309
400	0.2568962922
401	0.2567882865
402	0.256644188
403	0.2565995886
404	0.2565013638
405	0.2563075408
406	0.2561082181
407	0.2560632842
408	0.2559596074
409	0.2558762561
410	0.2557497767
411	0.2556856011
412	0.2555290595
413	0.2554451955
414	0.2553284134
415	0.2552460813
416	0.2551954021
417	0.2551311304
418	0.2550800641
419	0.2550097408
420	0.2548902289
421	0.2547383272
422	0.2546143001
423	0.2544804455
424	0.2543850262
425	0.2542664785
426	0.2541078828
